"GeneID"	"control_1"	"control_2"	"control_3"	"treatment_1"	"treatment_2"	"treatment_3"	"treatment_4"	"treatment_5"	"treatment_6"	"treatment_7"	"treatment_8"	"treatment_9"	"treatment_10"	"treatment_11"	"treatment_12"
"AT2G39470"	962.153	1081.14	1177.34	1276.235	1573.145	1493.613	1288.599	1052.805	1237.215	1317.374	1252.826	1080.54	224.95	184.521	200.91
"AT2G39700"	297.842	245.817	255.54	189.435	278.671	248.54	346.84	255.847	300.661	501.776	573.82	474.122	81.259	32.563	94.715
"AT2G39720"	361.665	331.17	368.551	256.39	294.852	325.06	272.769	257.63	340.47	295.112	301.876	314.297	735.298	1020.292	868.696
"AT2G39725"	50.098	48.936	55.662	40.826	48.543	49.233	72.895	84.688	54.475	80.794	82.096	52.001	154.591	189.948	165.511
"AT2G39730"	26441.361	37402.899	39505.834	39700.458	48109.483	42076.23	27683.719	24065.645	26132.376	27645.291	29231.474	25906.201	6912.991	4683.573	5661.831
"AT2G39770"	1016.368	901.33	942.041	893.283	931.302	839.935	727.776	704.247	781.509	688.879	779.916	916.892	566.834	577.984	508.972
"AT2G39780"	598.429	696.482	490.84	656.489	631.056	583.09	596.095	633.823	665.226	681.224	651.641	738.713	1147.541	1077.276	1261.905
"AT2G39800"	577.154	812.562	932.764	1170.903	1280.091	1638.348	2349.107	1912.165	1769.396	5317.972	6023.828	3655.331	17489.59	13651.829	15995.296
"AT2G39805"	159.215	160.464	185.541	188.618	228.331	134.651	181.062	219.297	230.472	183.701	171.034	214.12	364.676	360.901	377.902
"AT2G39900"	384.998	423.352	415.78	339.676	309.235	300.146	429.141	484.059	532.181	419.28	434.427	431.298	120.898	55.628	117.676
"AT2G39930"	180.489	200.295	241.203	267.822	305.64	279.385	324.501	263.87	297.518	392.065	338.648	310.474	106.034	66.482	73.667
"AT2G40000"	1669.699	1235.914	1389.869	2122.159	1560.56	1752.83	661.936	750.603	709.225	464.355	495.144	656.889	2398.142	1991.74	4469.766
"AT2G40060"	1017.055	879.707	1058.425	1043.524	1078.728	1153.131	1008.776	914.63	1071.695	945.72	955.227	968.892	1662.844	1778.727	1705.82
"AT2G40100"	741.86	617.957	497.586	893.283	902.536	768.161	623.136	442.16	405.421	782.43	743.999	789.184	243.778	161.456	244.919
"AT2G40130"	54.215	77.387	65.783	162.489	206.756	115.669	345.664	269.219	238.853	568.112	552.441	523.829	117.925	70.552	79.407
"AT2G40140"	562.056	398.315	492.526	451.541	226.533	294.808	184.589	201.468	251.424	136.075	120.579	189.649	201.166	316.128	267.88
"AT2G40205"	98.823	87.629	93.614	60.423	75.511	76.519	97.586	64.185	53.428	62.084	76.965	61.177	27.747	23.065	42.095
"AT2G40300"	236.764	275.406	404.816	215.564	219.341	189.816	316.271	300.419	361.422	190.505	180.441	283.709	391.432	596.979	566.374
"AT2G40430"	317.744	292.477	359.274	330.694	239.118	306.671	306.865	295.962	320.566	375.907	387.393	383.121	382.514	379.896	537.673
"AT2G40475"	157.156	268.578	231.083	279.253	309.235	297.774	506.739	464.447	505.991	850.467	908.192	737.949	293.326	111.255	172.208
"AT2G40490"	1489.209	2068.961	1827.576	1692.665	1422.123	1847.145	1496.703	1448.61	1741.111	936.365	883.392	1075.952	316.119	295.776	250.659
"AT2G40510"	1008.819	1024.238	984.209	794.483	857.589	714.182	834.768	803.198	878.936	726.299	799.585	884.009	568.815	637.682	592.206
"AT2G40590"	339.704	333.446	360.118	327.428	320.023	293.621	302.162	306.66	271.328	301.065	273.655	299.768	134.772	153.315	118.632
"AT2G40610"	96.078	300.443	441.924	796.116	992.43	1013.735	611.379	728.316	857.984	283.206	244.579	341.827	84.232	17.638	71.754
"AT2G40750"	163.333	271.992	229.396	368.255	221.139	251.506	600.798	620.451	577.227	432.888	370.289	476.417	21.801	23.065	22.961
"AT2G40765"	563.429	547.398	407.346	487.468	465.651	367.175	449.129	408.285	395.993	420.131	447.255	461.122	351.794	440.951	412.344
"AT2G40840"	666.37	644.132	583.61	795.299	852.195	799.599	899.433	876.298	783.605	1184.701	1060.413	1031.599	171.437	138.391	115.762
"AT2G40880"	1382.837	1389.55	1666.493	1674.701	1981.264	1739.187	1916.439	1905.925	1717.016	1703.486	1548.716	1651.017	1758.968	1807.219	1874.202
"AT2G40890"	222.352	328.894	335.66	331.511	318.225	333.957	306.865	277.242	364.565	352.093	327.531	308.944	428.098	455.875	514.712
"AT2G41090"	6437.914	6797.527	6455.13	9296.183	8606.454	7372.564	8013.77	7085.263	6733.971	3606.832	3270.176	6295.887	226.932	276.781	206.65
"AT2G41100"	13737.1	11180.128	9982.934	4516.222	1774.508	2493.705	895.906	1192.763	894.65	259.393	225.765	555.182	215.04	337.836	186.559
"AT2G41110"	1314.896	706.724	678.067	422.146	417.108	338.703	205.753	291.505	249.329	182	180.441	256.179	250.715	405.675	399.906
"AT2G41180"	251.862	252.645	185.541	260.473	149.224	188.036	224.564	234.452	217.901	308.72	282.207	299.003	411.252	337.836	298.495
"AT2G41190"	75.49	75.111	53.132	48.992	106.075	110.33	144.615	77.556	80.665	455.85	442.979	178.943	7614.596	8624.993	7195.443
"AT2G41310"	76.176	101.286	114.698	116.764	167.203	150.073	159.899	104.3	118.379	168.393	168.469	123.119	87.205	50.201	60.273
"AT2G41410"	1410.288	1115.281	878.788	1795.547	979.845	1223.719	698.383	731.882	765.795	713.542	880.827	786.89	2420.934	2615.854	2519.984
"AT2G41420"	1568.131	1226.81	1124.208	811.63	731.737	713.589	546.714	536.654	548.942	511.131	551.586	556.711	840.341	815.419	876.35
"AT2G41430"	15024.545	14034.338	14432.537	6665.327	6810.371	7745.078	5877.47	6228.577	6315.979	4834.907	4616.216	4306.867	4572.325	3385.144	4668.763
"AT2G41475"	540.096	588.368	533.851	480.936	690.386	435.983	745.412	525.957	511.229	805.393	847.475	677.536	1027.634	864.263	922.272
