GeneID	control_1	control_2	treatment_1	treatment_2
LOC_Os12g42800	0	0	0	0
LOC_Os12g42790	0.116298244	0.126550901	0	0
LOC_Os12g42780	0	0	0	0
LOC_Os12g42770	0	0	0	0
LOC_Os12g42760	3.74835607	10.3669623	1.296045319	1.964349414
LOC_Os12g42750	0	0	0	0
LOC_Os12g42739	7.341390667	7.014376386	0.990589704	1.441330565
LOC_Os12g42730	11.48887188	11.28942434	12.32658435	7.776703696
LOC_Os12g42730	0	0	0	0
LOC_Os12g42730	2.026281208	3.464866041	9.074624735	2.81551309
LOC_Os12g42730	11.10254148	6.68133765	4.280905409	13.96405492
LOC_Os12g42720	0	0	0	0
LOC_Os12g42710	0	0	0	0
LOC_Os12g42700	0.56366121	1.97635849	0.277181957	0.126033143
LOC_Os12g42690	0	0	0	0
LOC_Os12g42680	0	0	0	0
LOC_Os12g42670	0	0	0	0
LOC_Os12g42660	0	0.048484012	0	0.04483174
LOC_Os12g42650	0	0	0	0
LOC_Os12g42640	1.678168826	2.14836867	1.638352371	1.29124666
LOC_Os12g42630	0.900248862	1.371458604	1.394504576	0.362327839
LOC_Os12g42620	0	0	0	0
LOC_Os12g42610	10.47023337	8.598695502	9.945376197	10.53502311
LOC_Os12g42600	3.716587264	3.838596264	5.366762478	2.852226216
LOC_Os12g42590	0	0	0	0
LOC_Os12g42580	1.786647742	1.944155604	0.329470861	0
LOC_Os12g42570	4.121714935	7.454927604	8.62787004	5.716438491
LOC_Os12g42560	0	0	0	0
LOC_Os12g42550	7.525247128	20.90263278	16.76208089	5.379972616
LOC_Os12g42550	180.8683784	159.0552018	278.5375347	221.6490169
LOC_Os12g42540	1.912764053	1.387593411	0	0
LOC_Os12g42530	0	1.053084285	0	0
LOC_Os12g42520	4.417789962	5.757526217	2.330342718	3.411376703
LOC_Os12g42510	0	0	0	0
LOC_Os12g42500	0	0	0	0
LOC_Os12g42480	0	0	0	0
LOC_Os12g42470	0	0	0	0
LOC_Os12g42460	0	0	0	0
LOC_Os12g42450	0	0	0	0
LOC_Os12g42440	0	0	0	0
LOC_Os12g42430	0	0	0	0
LOC_Os12g42430	0	0	0	0
LOC_Os12g42430	13.67211371	19.71021814	4.817651053	5.958323141
LOC_Os12g42420	18.8876562	17.0998965	11.03421186	13.30317303
LOC_Os12g42410	0	0	0.289679695	0.263431593
LOC_Os12g42400	0	0	0.210645305	0
LOC_Os12g42400	1.306652826	0	0	0
LOC_Os12g42400	0	1.042534826	0	0.385600517
LOC_Os12g42400	0	0	0	0
LOC_Os12g42390	10.92301953	9.143057362	3.253844011	8.031600425
LOC_Os12g42380	28.48710567	29.48635999	7.303270762	12.93347801
LOC_Os12g42370	7.855995219	8.176889746	14.36105343	12.57863719
LOC_Os12g42360	0	0	0	0
LOC_Os12g42340	0	0	0	0
LOC_Os12g42330	0	0	0	0
LOC_Os12g42310	18.40217247	19.00843595	21.60931499	20.27761377
LOC_Os12g42300	44.96405779	31.25216969	47.09757707	40.07315366
LOC_Os12g42290	0	0	0	0
LOC_Os12g42284	0	0	0	0
LOC_Os12g42280	0.760631319	0.413843649	4.137845743	7.079377438
LOC_Os12g42270	0	0	0	0
LOC_Os12g42260	2.426640963	4.080880216	9.031167357	6.215126916
LOC_Os12g42260	1.797139283	1.466679046	0.745662551	2.429849335
LOC_Os12g42250	6.54411673	7.279280285	9.815166825	9.803755174
LOC_Os12g42240	0.455420013	0.495569076	0	0.916476298
LOC_Os12g42230	18.96984032	23.04001965	17.3848785	16.00242144
LOC_Os12g42220	3.529659583	5.641216769	3.539241262	14.09501997
LOC_Os12g42210	22.55292726	16.91537266	2.114707175	2.307710302
LOC_Os12g42200	0.323016446	0.292910861	3.931394689	2.762629794
LOC_Os12g42190	6.187164908	6.857293022	0.633865716	1.844578088
LOC_Os12g42180	36.07747316	52.62972394	22.83501244	31.86220432
LOC_Os12g42170	0	0	0	0
LOC_Os12g42160	0.691262519	0.852496803	0.356926767	0.185477346
LOC_Os12g42150	2.347351023	2.150980668	1.093562859	1.491711421
LOC_Os12g42140	7.650389513	7.523184216	7.775007041	6.95646718
LOC_Os12g42130	0.08625196	0.656990514	0.095432939	0.173571373
LOC_Os12g42120	0.372730272	0.486707455	0	0.15001469
LOC_Os12g42110	3.020153768	3.677644192	2.227753441	1.88118819
LOC_Os12g42100	12.25623665	11.80241227	11.52071026	13.09601221
LOC_Os12g42090	0.924303266	0	0	0.279006855
LOC_Os12g42090	174.6702366	142.7057632	17.13248479	29.26018229
LOC_Os12g42090	3.026400209	3.933547507	0.837135374	0.761281889
LOC_Os12g42070	4.949488577	5.573704862	2.101382648	1.50561646
LOC_Os12g42064	0.492847592	0.95341548	0.181769374	0.275498517
LOC_Os12g42060	0	0	0	0
LOC_Os12g42060	1.151451449	0.877073031	0.382204866	0.579288312
LOC_Os12g42060	1.473579558	1.924185426	0.978259706	0.494232686
LOC_Os12g42044	0.222414425	0.290426528	0.393742469	0.402823303
LOC_Os12g42044	0.233823027	0.381654707	0	0.078423307
LOC_Os12g42044	0	0.310518929	0.473605328	0.430691582
LOC_Os12g42044	0	0	0	0
LOC_Os12g42044	0.155882018	0.466466865	0	0.117634961
LOC_Os12g42040	0	0.158956119	0	0
LOC_Os12g42020	0.273712028	0.198561347	0	0
LOC_Os12g42010	0	0	0	0
LOC_Os12g42000	0	0	0	0
LOC_Os12g41990	0	0	0	0
LOC_Os12g41980	0	0	0	0
