ID	control_1	control_2	control_3	control_4	control_5	control_6	control_7	control_8	control_9	control_10	treatment_1	treatment_2	treatment_3	treatment_4	treatment_5	treatment_6	treatment_7	treatment_8	treatment_9	treatment_10
AT3G63340	51.44	51.6426	38.6411	56.6728	37.7966	57.0766	60.4471	38.2531	66.8241	36.5452	66.7539	54.071	98.113	69.2416	79.4473	131.2089	161.7446	143.988	174.7252	126.1494
AT3G63350	1.5588	0	0	7.5564	0	0	1.6948	0	0	0	0	0	4.175	2.0982	0	0	0	0	0	0
AT3G63360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G63370	1.5588	3.5863	7.0256	5.6673	5.0395	4.1763	5.0843	5.2763	0.8459	3.8469	2.3422	3.1806	5.2188	0	4.0397	0	0	0.852	0	2.1025
AT3G63380	19.4849	49.4908	15.8077	30.2255	40.3163	23.6659	3.9545	7.9144	6.767	23.0812	14.0535	14.3129	6.2625	13.6385	8.0794	0	5.0545	1.704	2.8181	3.1537
AT3G63390	102.88	115.4785	119.436	85.0092	99.111	77.9582	130.498	85.0801	98.9673	134.6403	112.4276	95.4193	86.6317	122.7465	150.8152	154.0802	109.9358	103.944	102.8624	117.7394
AT3G63400	120.8061	187.2043	166.8591	253.1387	141.9471	130.8584	120.3294	125.9713	97.2756	142.334	122.9677	98.6	89.763	118.55	136.003	148.0614	114.9903	143.988	104.2715	122.9956
AT3G63410	1866.6486	1804.6208	1881.995	1866.4253	1680.6868	1654.5241	1927.5296	1605.3091	1955.6622	1636.8413	1099.6829	1229.319	1117.8621	731.2331	750.0364	399.6455	348.7619	405.552	439.6311	428.9079
AT3G63420	150.423	131.9754	109.7757	79.342	123.4687	142.6914	100.5569	100.9089	144.6446	159.6449	180.3527	214.6935	155.5196	225.5597	215.4503	125.1901	226.1898	170.4	173.3161	167.1479
AT3G63430	2.3382	9.3244	21.0769	5.6673	10.0791	13.2251	12.9933	7.9144	18.6092	13.464	1.1711	1.5903	3.1313	5.2456	0	1.2038	1.2636	0	7.0454	0
AT3G63440	35.8521	27.2558	35.1282	41.5601	36.1167	28.5383	41.8046	29.0196	20.301	34.6218	14.0535	27.0355	48.0127	19.9332	24.2382	3.6113	3.7909	4.26	1.4091	1.0512
AT3G63450	21.823	12.9106	24.5898	37.7819	20.9981	14.6172	30.506	9.893	8.4587	14.4257	19.9091	20.6742	18.7876	24.1296	18.8519	6.0188	1.2636	3.408	7.0454	2.1025
AT3G63460	111.4533	153.4932	124.7052	122.7911	146.9866	160.0928	123.154	111.4615	122.6518	158.6832	121.7966	117.6838	117.9444	146.8761	149.4686	190.1927	154.1628	195.108	146.5437	201.839
AT3G63470	10.1321	6.4553	2.6346	3.7782	5.8795	3.4803	10.1687	5.2763	8.4587	15.3875	9.369	0	6.2625	0	2.6931	0	6.3181	0	0	1.0512
AT3G63480	9.3527	10.7589	10.5385	1.8891	23.5179	12.529	12.9933	27.7005	19.4551	18.2726	1.1711	6.3613	6.2625	4.1965	4.0397	8.4263	0	2.556	4.2272	1.0512
AT3G63490	2483.9287	2430.0697	2259.6235	2059.1129	2240.0758	2343.6191	2510.5339	2206.1458	2590.9141	2564.8976	1373.7253	1491.7221	1499.8765	1150.8791	1149.966	787.2534	645.7149	667.968	648.174	753.7426
AT3G63500	70.9249	60.9669	73.7693	51.0055	61.3144	118.3294	74.5703	87.7182	76.1287	95.2099	83.1496	97.0096	111.6818	164.7111	107.7252	130.0052	216.0807	187.44	194.4522	163.9942
AT3G63510	60.0133	65.9877	64.109	43.4492	62.9943	41.0673	70.0509	60.0177	97.2756	58.6647	11.7112	19.0839	18.7876	8.3929	12.1191	4.815	0	5.112	8.4544	4.205
AT3G63520	782.5116	753.838	742.0839	770.7505	762.6505	632.7145	906.1423	718.8936	801.0433	753.0239	959.1484	1105.2738	1129.3434	1194.942	1190.3629	1918.7798	1753.9183	1674.18	1843.0688	1853.3447
AT3G63530	45.9842	21.5177	22.8334	34.0037	36.9566	28.5383	49.7135	25.7219	48.2149	44.239	29.278	52.4806	18.7876	20.9823	25.5847	12.0375	12.6363	15.336	16.9089	17.8712
AT3G63540	1832.3553	1743.6539	1880.2386	1915.5417	1652.9693	1719.9533	1723.0262	1848.0181	2181.5108	1780.137	1566.9603	1669.8382	1733.6778	1275.7238	1241.5324	1024.3925	1132.2124	901.416	991.9881	874.6357
AT3G66652	4.6764	9.3244	14.0513	18.8909	26.0376	4.1763	10.1687	11.8716	9.3046	5.7703	4.6845	12.7226	17.7438	18.8841	10.7725	16.8525	3.7909	19.596	5.6363	5.2562
AT3G66654	199.5249	183.618	243.263	230.4695	214.1805	215.7772	159.8742	214.349	263.9129	251.008	248.2777	321.2451	272.4202	309.4889	309.7098	402.053	510.5065	465.192	462.1763	446.7791
AT3G66656	0	0	0	0	0	0	0	0	0	0	0	0	1.0438	0	0	0	0	0	0	0
AT3G66658	71.7042	64.5532	57.0834	41.5601	52.9152	56.3805	62.1419	86.3991	60.0571	53.8561	43.3315	55.6613	28.1814	61.8978	92.9129	8.4263	10.109	9.372	9.8635	12.6149
AT4G00005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G00020	38.9697	30.8421	35.1282	26.4473	35.2768	30.6264	25.4217	30.3386	43.9855	52.8944	32.7914	6.3613	12.5251	7.3438	9.426	3.6113	1.2636	2.556	4.2272	3.1537
AT4G00026	137.9527	104.0024	116.8014	96.3438	136.0676	64.7332	76.83	98.9303	81.204	81.7459	55.0427	36.5774	54.2753	43.0137	47.1298	139.6352	146.5811	131.208	111.3168	133.5081
AT4G00030	130.9382	129.1064	120.3142	177.5749	103.3106	130.8584	108.4659	98.2708	155.6409	134.6403	159.2725	221.0548	170.1321	142.6796	173.7068	158.8952	145.3174	145.692	160.6344	191.3266
