ID	control_1	control_2	control_3	treatment_1	treatment_2	treatment_3	treatment_4	treatment_5	treatment_6	treatment_7	treatment_8	treatment_9	treatment_10	treatment_11	treatment_12
AT1G78930	11.667	3.414	16.024	22.863	7.192	7.118	14.109	11.589	18.857	17.86	12.828	16.059	26.756	25.779	22.961
AT1G78940	4.118	15.933	11.807	2.45	5.394	8.304	9.406	23.178	2.095	11.907	5.131	10.706	15.855	2.714	17.221
AT1G78950	3.431	1.138	1.687	2.45	0	9.491	0	15.155	4.19	0.85	26.51	4.588	3.964	0	4.784
AT1G78955	1.373	0	0	0.817	0	0	0	0.891	1.048	0	0	0	4.955	2.714	1.913
AT1G78960	28.823	29.589	35.421	34.294	26.968	56.945	79.95	59.727	59.713	77.393	187.283	109.354	139.726	81.406	210.477
AT1G78970	75.49	86.491	153.493	93.901	97.086	72.367	101.113	73.099	65.999	88.449	168.469	99.413	30.72	27.135	87.061
AT1G78980	0	0	0	0	5.394	0.593	2.351	0	0	0	0	0.765	0	2.714	0
AT1G78990	0	3.414	4.217	2.45	5.394	7.711	0	4.457	0	3.402	6.841	0.765	0	0	0.957
AT1G78995	84.411	186.639	228.552	239.243	248.108	217.695	397.396	347.666	422.183	337.636	285.627	326.533	35.675	21.708	22.961
AT1G79000	39.804	27.313	59.036	61.24	52.139	75.333	42.326	82.905	65.999	40.822	76.965	69.589	83.241	118.039	107.152
AT1G79010	719.213	703.31	692.404	516.863	683.195	656.051	668.99	730.991	625.417	620.841	572.965	585.771	656.021	759.792	717.535
AT1G79020	43.235	45.522	37.108	48.992	17.979	55.165	44.678	38.332	36.666	30.617	35.917	34.412	82.25	56.984	68.883
AT1G79030	30.196	37.555	48.072	31.845	32.362	53.386	27.042	69.533	65.999	62.935	41.903	52.765	40.63	32.563	45.922
AT1G79040	48964.11	55555.813	61104.459	66290.727	79290.124	71600.298	79274.715	67462.433	72895.134	70497.789	67703.932	55810.324	30694.235	19606.697	26560.285
AT1G79050	155.097	162.74	134.939	173.104	190.575	169.648	158.723	159.57	203.234	195.607	206.952	204.179	220.986	194.018	167.425
AT1G79060	26.765	11.38	26.988	24.496	39.553	23.134	27.042	14.263	20.952	27.215	27.365	12.235	23.783	20.352	17.221
AT1G79070	55.588	48.936	80.12	64.506	75.511	65.842	72.895	70.425	63.904	56.981	54.731	89.471	49.548	65.125	63.143
AT1G79080	76.862	50.074	85.18	61.24	35.958	65.842	91.707	47.247	53.428	92.701	49.6	58.883	72.341	90.904	65.057
AT1G79090	220.293	161.602	188.914	213.114	163.607	170.834	183.414	214.84	218.948	217.72	194.979	270.709	444.945	369.042	485.054
AT1G79100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G79110	67.941	108.114	45.542	48.992	57.532	33.811	76.422	47.247	49.237	60.383	68.414	78.765	257.652	153.315	185.602
AT1G79120	2.745	0	0	9.798	7.192	4.745	4.703	13.372	1.048	22.112	11.117	7.647	24.774	28.492	15.307
AT1G79130	0	0	0.843	0	0	0	0	0	0	0	0	0	0	6.784	2.87
AT1G79150	120.098	134.289	137.469	111.048	129.447	100.84	112.87	191.662	179.14	105.458	166.758	152.943	46.575	96.331	59.316
AT1G79160	99.509	154.774	166.987	82.469	107.873	97.874	137.56	169.376	142.474	136.925	206.096	127.707	175.401	154.672	176.035
AT1G79170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G79180	8.235	7.966	0	9.798	1.798	2.373	8.23	3.566	13.619	12.757	11.117	13	31.711	4.07	12.437
AT1G79190	35.686	27.313	50.602	22.863	26.968	25.506	43.502	18.72	38.761	33.168	35.062	19.883	74.323	33.919	44.009
AT1G79200	90.588	80.801	86.023	89.818	122.256	46.268	105.816	90.037	71.237	102.056	93.214	78.765	90.178	119.396	150.204
AT1G79210	488.625	417.662	405.659	404.998	400.927	424.713	505.564	436.812	494.467	489.019	476.331	461.887	680.795	621.401	802.683
AT1G79220	37.745	35.279	37.108	22.863	61.128	33.218	28.217	26.744	29.333	28.916	39.338	45.118	29.729	33.919	35.398
AT1G79230	605.292	668.031	542.285	654.856	530.375	572.413	677.22	636.497	523.8	692.28	631.972	610.241	675.84	884.615	826.601
