"GeneID"	"control_1"	"control_2"	"control_3"	"treatment_1"	"treatment_2"	"treatment_3"
"LOC_Os01g24680"	1883	1808	1636	1831	1865	1542
"LOC_Os01g24750"	514	433	436	452	489	439
"LOC_Os01g25386"	5147	6137	4845.5	5837	6714	7543
"LOC_Os01g25484"	14271.33	18401.33	8961.33	15761.67	17959	15262.5
"LOC_Os01g25610"	606	689	683	1199	1209	1251
"LOC_Os01g25880"	792	795	731	792.5	910	784
"LOC_Os01g25990"	1215	1278	1188	2178	2297	2263
"LOC_Os01g26039"	2621	3021.33	3003	2945.5	2946	3105
"LOC_Os01g27140"	185	218	175	424	307	615
"LOC_Os01g27150"	2758	2512	2310	2388	2320	1969
"LOC_Os01g27210"	756	875	758	866	1196	1268
"LOC_Os01g27750"	165	168	165	220	240	180
"LOC_Os01g28450"	222	125	59	1185	1792	681
"LOC_Os01g28500"	518	409	725	857	703	627
"LOC_Os01g28790"	496	678	255	593	605	623
"LOC_Os01g28989"	3426	3641	3000	3514	3912	3571
"LOC_Os01g29330"	461	617	317	198	183	170
"LOC_Os01g29469"	477	507	448	565	673	555
"LOC_Os01g31110"	3053	3155	3687	3596	4091	3068
"LOC_Os01g31360"	3140	2601	2618	4958	5480	3859
"LOC_Os01g31680"	4949	6066	4453	5238	5213	5188
"LOC_Os01g31690"	91071.67	104513	75677.5	140446	144884.5	143743.1
"LOC_Os01g31810"	651	568.5	583	477	565.5	432
"LOC_Os01g32330"	2365	2557	2310	8333	8428	7740
"LOC_Os01g32460"	166	145	148	41	27	46
"LOC_Os01g32730"	1031	1097	1169	1224	1482	1147
"LOC_Os01g32750"	827	850	810	819	905	783
"LOC_Os01g32770"	12	8	13	29	30	42
"LOC_Os01g32780"	139	169	131	753	614	732
"LOC_Os01g33000"	710.5	770	610	1454	1533	1366
"LOC_Os01g33784"	264	211	255	493.5	568.5	406
"LOC_Os01g34060"	3098	3547	2651	2047.5	2603.5	1730.5
"LOC_Os01g34614"	346	352	323	439	481	392
"LOC_Os01g35040"	739	678	547	661	680	532
"LOC_Os01g35789"	3358	3449	2941	2820	3014	2939
"LOC_Os01g36890"	1069.5	1109	973.5	1197.67	1341.83	1029.17
"LOC_Os01g36920"	1522	1568.5	1474.5	1913.67	1954.83	1728.67
"LOC_Os01g36930"	929	796	848	830	893	801
"LOC_Os01g36950"	20818	23976	18773	38320.5	44828.5	37104.17
"LOC_Os01g37130"	5318	5975.5	4081	4741	4825	4688
"LOC_Os01g37590"	4307	5371	3860	2784	2656	2730
"LOC_Os01g37770"	618	684	596	782	855	727
"LOC_Os01g37800"	2381	2077	1968	2124	2433.5	2033
"LOC_Os01g37832"	538.5	535	539	770	900	657
"LOC_Os01g37910"	20303	19872	16218	2999	3647	2565
"LOC_Os01g37960"	1242	1313	1104	1270	1329	1066
"LOC_Os01g37980"	452	486	425	493	533	457
"LOC_Os01g38229"	9738	7202	7657.5	1149	998	1030
"LOC_Os01g38620"	2028	1994	1888	2401	2812	1914
"LOC_Os01g38950"	2407.5	2278	2223	2091	2317	1900
"LOC_Os01g38970"	1182	1330	1286	1436	1402	1304
"LOC_Os01g39260"	2766	3005	2613.5	3138	3406	3023
"LOC_Os01g39270"	693	777	763.5	588.5	598	640.5
"LOC_Os01g39310"	2462	2423	2280	2657	2997	2160
"LOC_Os01g39960"	1718	1873	1541	2448	2551	2162
"LOC_Os01g40070"	1113	1323	668	961	922	1173
"LOC_Os01g40094"	2405	2828	2114	7379	7233	8652
"LOC_Os01g40310"	4009	4446	2943	4951	5045.5	5288
"LOC_Os01g40330"	1272	1230	1162	1266	1440	1235
"LOC_Os01g40470"	2173	2058	1899	2883	2807	2516
"LOC_Os01g40630"	4854	5115	6501	4262	5696.67	5386.67
"LOC_Os01g40710"	1904	2280	2105	2395	2411	2498
"LOC_Os01g41240"	9217	12927	6199	2387	3523	2826
"LOC_Os01g41710"	152310	168424.75	77234.58	126871.33	115072.25	124333.83
"LOC_Os01g41810"	835.5	822	651.5	2942	3077.5	2115
"LOC_Os01g42090"	76	87	96	140	148	155
"LOC_Os01g42380"	543	487	551	663	872	907
"LOC_Os01g42410"	102	89	123	145	147	141
"LOC_Os01g42430"	1100	1052	903	1684	1678	1568
"LOC_Os01g42650"	902.5	988	916	1242	1206	1225
"LOC_Os01g42850"	550	514	459	721	711	585
"LOC_Os01g43020"	2133	2108	2029	1980.5	2099	1751
"LOC_Os01g43090"	4038	4520	3285	5429	5731	5388
"LOC_Os01g43150"	6080	6007	5271	4588	5008	4397
"LOC_Os01g43360"	483	449	369	386	419	348
"LOC_Os01g43410"	1502	1469	1163	1110	1167	1040
"LOC_Os01g43420"	1181	1186	1041	1261	1560	1263
"LOC_Os01g43540"	3780	3617	3372	2980	3415	2484
"LOC_Os01g43580"	117	81	81	236	195	128
